,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,user_id
29,4.5,3,1,Dan,4,7,jy94hgtLcuD0BbZ7o8KCYQ
30,5.0,2,0,Beth,3,2,8lrTKMjIJ9kt7rfVtjq3qg
31,3.8,2,0,Scott,6,3,IcSsf2QCA7T-KpdraDxTew
32,3.86,0,0,Michael,8,2,d09KNIq4YPYq1u5nVyqIUg
33,5.0,0,0,Kelly,1,0,vxxNafFH_OMD5B1l231toA
34,3.17,1,0,Leslie,6,5,bwPaqC08ddUoq-zminI3bw
35,4.0,0,4,Steve,3,3,LzT8mSfliJHhs68RTwQW5w
36,1.33,0,1,Kathey,4,4,vAAeeV-kqabpuVr-DmtdFA
37,3.75,2,2,Clay,8,8,R75rQfzSeXzO9LVh0MFjJg
38,5.0,1,0,Amanda,1,4,D_nff52rbs-OCZbVXeCqzg
39,2.62,1,0,Amy,8,3,6lyD0ZdmmYZsOMFFwOWsog
40,4.33,3,1,LaToya,3,5,hqjDAPapGKJ3U4wUN1dGMA
41,3.79,147,113,Kate,155,386,iR8iTaCOjQCM-JG4qf23NQ
42,3.89,1,1,DAVID,18,3,1Md7FNu_GujIwxbb9TqSqQ
43,4.0,0,0,Camille,9,1,-LmTXrlHEfLpDi34FVXNAg
44,4.2,0,1,Lorena,5,2,ysZSP646Ikjb9pPKxuBurw
45,4.27,37,21,Riana,30,38,gXQ3peDz-H8mFZO_U4ys3w
46,3.87,8,5,Mimi,15,17,8gIp7Emu7xBDnBjRKgkSOg
47,4.07,12,8,Kelsey,41,20,44302NAooinHOKKIWHDKXA
48,5.0,1,1,Mary,1,1,BDa9RGFZv9TV2lGAiuqjxQ
49,4.11,2,1,Carmen,27,14,qw8n1PUrt4qBh-4eMjfv0Q
50,4.78,0,0,Syd,10,3,F2M53He6gzMb1vp3m7cKJg
51,2.0,0,0,Kristina,2,0,Mcdt7tUA7jqiqCtyxXgq4g
52,4.33,1,2,O,3,6,q10h5nL1LnbaKMlNOfahfQ
53,3.82,890,317,Gabe,407,1244,CUUpi7gtqx1zojEGJ6Z5ew
54,3.51,527,295,Jay,379,795,6hvcowqr8NYug9u-Bzw8Jg
55,5.0,1,1,Dustin,1,1,pjfwk6ZnCAcJAsX4V6QhpA
56,3.88,2,3,Dino,8,6,BqmMeZQD03LHJ_vibTOp2g
57,3.14,16,26,Brian,118,35,lodglSjhVGXzRUTDMoyOCg
58,4.0,0,2,Ruby,5,5,vSxaLh9RCl1BJDbIt0hxww
59,1.5,0,0,Gerard,2,4,yBMGCKvNXnb9Gr6VVRTHGw
60,5.0,1,0,Trinidad,3,0,1zKpgs-JZixiWiS8PWdj2w
61,4.14,11,11,Katie,15,17,lzHNLEvRNFN-RQFmczYNBw
62,4.33,1,0,Joe,3,0,HplYk367S1EV6uywIIK5-w
63,5.0,0,0,Bari,3,1,IwDii1N3yCTXsgs4Nm2OEQ
64,3.55,1,3,Dana,11,6,sGL10Y44CVzzKNkLVeHOEQ
65,3.91,135,142,Marisa,193,209,UF4IY9O6EaVo-hS5FqMsiA
66,2.5,1,1,Art,3,9,mmLIP0mFRbDgRjlKvJSAQw
67,4.25,0,0,Nicole,5,1,j9CYALELapJci8kQ61_7Cg
68,4.31,5,6,Melvyn,13,6,Q9YX5k3ICwUYGkMjADSokQ
69,2.33,1,3,FC,3,4,PyOkV3pQ1aw__O4VAWmvcw
70,3.0,0,0,Derek,2,2,F6uG2OxXVNkAhuM24n3ZGg
71,3.0,0,1,John,2,2,Acl3hg7RPM6tj4zkPvdz1Q
72,3.3,268,356,Junk,267,359,dYtkphUrU7S2_bjif6k2uA
73,4.33,0,0,Alan,3,1,jgOtDM_CSVHoWhlf3JxUzQ
74,3.81,95,94,Kai,214,166,rbcbqdr8hV0iv8ISMheE3A
75,5.0,0,2,Rach,5,0,ZAbccZRkyprv9jA5JIqEAw
76,3.52,11,15,Mike,90,52,1NppMyL-2RXQvHUExIjxdA
77,3.81,26,18,D,79,89,cMmQsFyrYBv6hIE6NffqZQ
78,3.95,728,444,Eddie,252,970,eSAmN-5RAu8y1igSvz_yJw
79,4.13,17,17,kelly,23,24,VKOREbYBDBK5oaorb6j6mQ
80,3.88,0,1,Glenn,8,4,LRsJbMmLXcMpZ3Fqcys0vA
81,3.91,52,33,Stephanie,130,117,n4RPA0Cuem4ygQxPIdLBLQ
82,3.81,10,1,Russ,21,24,qQxDnjMexrsfltQV7I1mJw
83,5.0,0,0,Angie,1,1,pYfB2Asdqg5ampdmqEjdzA
84,5.0,0,0,Alex,1,0,-aCl04VaJ4FWzo7y2diKZg
85,4.75,1,0,Debra,4,5,TGQRbUuikgzO2ARVicH1cQ
86,3.24,118,87,Miss Kae,59,171,akmkd_2iLRrbOyPBfYLN0A
87,3.5,2,3,M,7,12,f72UJVOllcjgpZdOi7-gkA
88,4.0,1,1,James,3,4,EJeBInfAGoBiVWqXX2YTQg
89,1.0,0,0,Ania,1,1,rpMb-wEYPevvuaKLIbqrvQ
90,5.0,1,0,Lenin,2,2,iIfuhtK9Pu7tLSNbxxoJfg
91,1.0,0,0,Ryan,1,3,BE27SDgLqJTEjVq2p9yZDg
92,5.0,0,0,Mickey,1,1,RqWIxCYG4a42mUCChgMQvA
93,3.1,4,7,Catherine,32,11,IFKDDiyY-ap8DNaSCIwbZQ
94,4.75,0,0,Nicole,4,1,sowwcc9gasFhwsdMgsMzrg
95,4.33,0,0,Ron,3,0,XYx6ZiTSIpbC3qm_xEm-KA
96,3.0,0,0,Ash,2,0,f_rpabHGZ4SgFZp5_jQ8KA
97,4.0,25,29,Eric,36,35,zKyJDKJwAfWGB4HKXp9snw
98,1.0,0,0,SJ,2,4,owCSYaRJEiV-kk2L2HP00A
99,4.33,7,5,Anthony,16,17,uBAMd01ZtGXaHrRD6THNzg
100,2.38,3,4,T,16,8,JopzNRMvBxIc_M5pZfoK7Q
101,3.67,0,0,Ivy,4,3,IBgAJmUpRFt7oxz0A7l80A
102,2.8,2,9,Justin,12,9,FxEau0b8pC_N7QeZNHZZtw
103,3.56,7,7,Rob,25,31,u74AsCsDA4gSOGHySJTm3w
104,4.0,7,0,Joe,8,6,2QzrMw_uWZuhPFvqie0cmg
105,3.25,0,1,Shelley,4,1,6LDJDgd3bllzpeo1JzJSIw
106,5.0,7,6,A,5,7,z-TD7Mf07w8jdS2xbYp0Dw
107,5.0,5,5,Jordan,5,6,_j70DLAT_Unc8uR_PNkp_Q
108,5.0,0,1,Debbie,1,4,S7Zlol5qxWrRGX21Uqs4_A
109,1.0,0,0,Andrew,1,0,ZpRbqGdmhgiENWtw_XQ4OA
110,3.5,11,20,Tyson,24,49,4expbzCvfg4ZEWh8MOD9Cw
111,5.0,1,1,Krysti,1,3,PXLb9RnpfSPRG4nNa1F05Q
112,3.5,3,0,Sharon,2,5,J0jywlzX6xwjDqPewyv7MA
113,3.65,25,15,Mister,71,67,fM6zztYtf9W5DsXUhy941Q
114,4.5,2,1,Chrystal,3,3,F3kzrZd3R_z60p5mPeAT-Q
115,4.2,0,0,Emily,5,1,Lw2JfTJSlGLJa_qjoeYnbg
116,3.31,41,16,Jeremy,70,66,TSmeNkbRpG_8REsLeTIwnA
117,1.0,1,1,Tiffani,4,6,rxLztfrLaSOhwl5LTqbqzw
118,3.31,60,103,Eric,380,179,GDs9jnBBln3KhU0teNsHDQ
119,3.87,5,5,Arnold,42,14,UlF9QddRCygQrmmXuwIFjg
120,3.0,0,0,Jack,1,0,K-N_hbnmYNt35J35ocjbww
121,1.0,0,2,Mizuagi,1,1,i2srUvYyu0rX8ODt_RKG3w
122,3.78,5,6,Adam,18,26,GN-4LStZtWdAqNjwUUEvNQ
123,3.0,1,1,Russell,2,6,jv9monaBCfX84LIW5gFs2w
124,3.6,0,0,Nicole,6,3,3ouCNuKrN3cw3bBZHXdcyQ
125,4.27,3,3,Nikolas,26,25,SfXcp7C6lzRgYBiNL6zX7w
126,3.75,4,1,Pam,4,4,kfvcQcMouoxlw4bmQebxww
127,3.65,412,196,Sal,238,578,2mQpxWifARjbp7H1rehVrQ
128,5.0,0,0,Dan,1,0,gkLF4m_BlvFRhOuh1OGgyw
129,5.0,0,0,Terry,1,0,7xp8QB-6APuFbiSdEI3-4Q
130,5.0,0,0,Aaron,1,1,YyV13Qb7TL-o1rvn_b1VGA
131,4.0,0,0,John,3,2,Cw_f-K74pUnQs-A16itmEg
132,3.86,0,0,Jennifer,9,4,weBOpmQtMv8Z_L54gPs3hw
133,5.0,1,1,Mychal,1,1,nVs5vkTn-rcbpVbnfl_KWw
134,3.5,0,1,Billy,2,3,Uo74EZEYjOeEfsUpdS3oiw
135,3.95,2,3,Allison,21,7,JiJSN4Ke7om8lkkllKTR5A
136,3.79,21,18,Ron,47,48,AcErO3j0GFTXbdJHbuD2-Q
137,4.0,3,3,Colby,5,7,53AZajKCKZsf-VosN8Dmeg
138,4.0,0,0,AB,5,2,1O7mOUPJCxB6e5pdyCin4g
139,1.8,0,1,Stephanie,7,12,nu6xTWhL3SVrnxPgJOE73Q
140,4.17,2,0,Sarah,6,4,xZJO6cRX6OHabaePvPzsXw
141,5.0,0,0,Tim,2,2,v1ntgoANp9xLxf4u5iJR4Q
142,4.0,2,1,Chris,4,3,bbVdfdqq3_XmWTxrhqPa0Q
143,3.89,23,20,Barbara,88,116,oe614PyMdAayDUfWEaFUUA
144,3.17,1,2,Daphne,18,6,Qo8UkUSL5y-MCw50eIACsQ
145,3.64,580,210,Meridith,439,907,sXWvDlMQspjJ1zzr3cEM7Q
146,3.62,11,5,Joe,14,28,Wg4mxEGEI7Vz8VC0WCI69Q
147,3.5,3,0,Anne,8,16,fJH98Ok6ZlfBmsd0h_HaUQ
148,4.12,2,0,Richard,8,3,hkXeZdoz2uk1ZLORqYQ47w
149,5.0,0,0,Jordana,1,1,tHE3AJdBju9VQ0fzbP72dw
150,3.75,14,8,Chase,28,39,O5dNmqcrCiE7FG7VS3y-Cw
151,3.85,0,1,Grace,26,10,ify3N2NjFX_sjDnslizsvw
152,5.0,0,0,Donald,1,1,oQSK7Poz3Ex95qpsv2EUcg
153,3.92,6,9,Kathy,12,28,SFWaDnvJtHPD0pIru1y8wg
154,4.6,1,5,Kelli,5,3,ThZw3MFhwjxU4bjeFL3Pcg
155,3.8,5,5,Daniel,5,6,ZsjBAQiO5lNa_Tzlr3_FlQ
156,3.93,91,43,Larisa,332,209,oFHxCaz9iIkuilTtqlzxEg
157,3.33,0,0,Jonathan,3,1,bzE1d8iiwkswuyjqC7r11Q
158,4.0,2,1,John,11,16,j0KVSX1QWLgjqVoYLjLqEA
159,3.67,4,3,Jason,4,12,RD2YHSnQCy2iSN_EGo3QdA
160,3.97,6,6,Justus,29,21,nr5-g3HCSidJ9fBoAP39jA
161,3.71,1,2,Jennifer,8,4,9b7HeM91XY9tIFGFVi7Y5A
162,3.0,1,1,Cathy,4,3,AIvZS_tQ7y-ADNji1KM9Bg
163,1.6,1,4,Jennifer,7,8,iSjr5iewkapr08l5SPAi0A
164,3.93,3,3,carrie,30,11,dlcDKOOlGeQ7Cu-6tAiHYg
165,3.43,5,6,lenoxx,15,16,T2u4D_GmKo5KbDiXLRTcyA
166,3.5,2,2,George,3,2,AdNbFzW14o88wNo7dTKz6g
167,4.85,1,3,Joe,13,9,RxX5_RP3hSGpMhGY6y6OiQ
168,4.0,0,0,Staria,2,0,yf8gN_pRFE4c3zs1D72l4g
169,3.75,58,35,Tricia,198,140,bWNjCQyTJttofo3dKtTTPQ
170,5.0,0,0,Richard,1,1,PyhTmEpgkP1CMGJP-bB9DA
171,3.67,2331,2036,Jeff,1357,3391,4CJGQajGdc8JwFneADetcQ
172,4.15,0,2,Simon,14,2,3sfS66tTc2BLmcU959dSsg
173,4.0,4,2,Micah,19,35,p7CS-HdINxXUVxn9Ss09VA
174,2.75,2,0,Amy,4,4,LFLqZT3zTP5nJ0kH_ydVkg
175,3.94,43,52,Tanya,31,97,VbkrQcb615YaVp7bFyt5fQ
176,4.18,6,2,Steven,11,11,JK0mzJWym6AFSrw849bmrQ
177,4.22,4,4,Steve,9,11,ngU1vdwjT2lGOsdTq1JK5A
178,4.0,11,1,Casey,22,31,23zT_daU4O5VcFnajw8MTg
179,3.88,3,9,Jessica,17,22,SgLoVOP_KUVQuDDI3PpkFA
180,5.0,0,0,Kelly,1,0,-d12fQpJ6XhN-hPzxeStCg
181,4.5,0,1,Jennifer,2,1,TbZ9KAHJGtmV73thmvjygQ
182,5.0,0,1,Paula,3,0,83UjWE-VBOoOws1oI4JhfA
183,3.85,4,1,Rachel,13,14,4k3-pyX966dnSMuvuBvLjA
184,5.0,1,0,Pam,2,0,eT1fp_Js2GD5Z-FIt8CC1w
185,3.67,1,0,alex,3,8,nTFnSwqOpyj5d4IifRa8XQ
186,3.5,0,0,Mary,4,1,8Kvmut7tOYkAxa5KPBT3FA
187,4.75,4,4,e.,4,7,vh85A2GSrIovm3W7CG4R0g
188,2.8,1,1,Becky,5,6,4QA8ilDzVnF4j__I6E4T6w
189,4.75,0,0,P,5,1,OIEmHXKytEoQfnOu2Ozmgw
190,3.5,2,2,Anne,16,19,out_4MBKTtOqlXlHOlXwFg
191,5.0,0,0,Terrence,1,0,J-H-q2-4AyFM1ILE4MARAA
192,5.0,3,0,Conrad,6,9,gQm2p1gmBPQ4f1sHxgRlbw
193,1.0,0,0,Nicole,2,2,TGZknBtL5dyiuoThHSKmMg
194,4.0,0,1,Charles,2,0,GIBTgFC8amRa295ozndJIQ
195,4.5,1,0,Patty,2,3,lzutD82kSsk55M7XEId6GA
196,4.83,1,0,Mary,6,3,N56tE_bSNVAgk59avW-TFA
197,5.0,3,1,Madinah,2,5,Qx6Kq92S72-tik94Hfn0UA
198,1.0,0,1,Sue,2,1,zGsGvKgD-5ZtXNzTagjbkQ
199,3.73,11,7,Corey,40,30,vz05hlteS6XvnczIInsnqw
200,4.0,1,0,Catherine,5,7,umHlSGfbPXti-VOinu7fkQ
201,4.58,3,1,Carol,13,5,8McyBeTdW7D4BG87Tv41WQ
202,5.0,0,0,Michelle,2,1,ew-YiTn2fJH0IyjXSltKBQ
203,2.33,0,0,Nanette,4,0,g5hVihQ30Nn-XoswvlvMvQ
204,4.2,3,2,Kimberly,10,3,lw_Lj1XjPjOYrDIkDEcDzg
205,4.0,0,0,Evan,1,0,6dDBJ5G-C5lcuLeUAwwdvQ
206,4.0,1,2,B,3,4,VFcEaZC5ojcgA0RIcukggA
207,3.92,0,1,Alyssa,13,4,cKFd4AkPGpOkEy9zR_7O5w
208,5.0,0,0,Cheryl,1,0,sv6o8BdnMM8UB-KTH6N7kw
209,4.12,402,349,Jill,258,776,O8tNWUq6vPmvq2YTVD8hlA
210,2.5,0,0,Jean,2,1,F98yAgA43QQR0woD80Voaw
211,5.0,1,0,Amy,2,1,chHirosDitN1crv1thxA6w
212,3.67,4,3,Erin,43,29,ShQZSh_0Be48sy-JQOb5dg
213,3.7,1,4,Cassandra,10,8,jd_A8MB3M33Xy9Dd7UJ7_Q
214,2.33,0,0,Jay,3,1,Igu8LjeJunbmmsZycWZuEA
215,1.75,1,3,Charles,4,5,F5ACaWQvyUQ2HH7-YIkdkw
216,1.0,0,0,Mia,1,0,aNtYQW1GoDXlLzEsEmoR3w
217,3.0,0,0,Ovi,1,0,e1a1i8aFuFeSn2dJbKycmw
218,3.83,5,4,Jamy,23,14,sNek-w3xKlwit6q_JpnT7Q
219,4.5,0,0,Alex,5,1,SH9lxmHsiUxQ-2Ic7A0Bcw
220,2.62,8,5,Sandra,10,17,Kc6eyirhmOH8vXBljMXDCg
221,3.38,0,0,Mini,9,4,IWCF21myBYma3Cmb_9Z8LA
222,3.4,1,1,Kayla,5,6,UG4Mj3GJs4PpnFlF6z7g1Q
223,5.0,1,1,Lydia,5,5,_D1zyYMjll4almoGZjBmkA
224,3.0,0,0,Jeri,9,12,oYiskdGb0XYT2NjRb-s_qg
225,3.45,65,80,Law,100,84,vtfOF92rj8kXGRlMPiprWg
226,3.74,11,6,Melanie,43,35,hWM1k9RNkPH9oCcoVS1ftQ
227,4.4,2,1,Frank,6,2,15J3D1xNze1NbO2SoqAQfg
228,4.0,1,3,Peter,10,16,o99g5QZpt_wc4bk1uvEH7w
229,2.57,14,16,Molly,24,66,bgjGWDjAxqIPF7BJBUps2A
230,4.0,4,2,Stu,5,6,iY_jDdD4BrRMSYgn3tCDtQ
231,4.33,0,0,Stef,3,1,nAjxNm5aWD60h6qy2bMacQ
232,2.8,3,5,Julie,15,9,US3AZyMVZJxg_3Tzs4xoEA
233,3.0,1,0,Lilian,2,2,2qHG0PbNhP2GYv5ITnSFRQ
234,4.2,4,1,Luke,5,19,nUGV1dVjO84ZI3nplRbwFQ
235,1.0,0,0,Scottsdale,1,0,R5jIAytpLfAPwsIpsViEsQ
236,3.75,3,2,Thomas,4,8,yTvUoE-kAg6l11mGkdJFJA
237,2.0,0,0,Laurie,3,2,DYs-7UH4lhgjvGe4d8huvA
238,3.35,47,35,Kaity,68,128,7OqeO0eqe805StjppUvUFA
239,3.63,47,12,Tony,173,63,0bf_zvgBrEOnx7TLh8dxOQ
240,4.0,0,0,Matt,2,1,JvVYWmY3xmiu5cpbsGfTaA
241,2.0,0,3,Kalika,2,0,TD5LHxKwYJWkSVjxx8y2pg
242,3.72,27,24,Ryan,133,92,ATlqgcQwb3XzvDnq3Lv-0A
243,3.96,10,6,Kyle,24,30,MAvkqp_gDtKYU1d981XnwA
244,4.05,2,4,Sean,43,18,POPVwe5sCm-SQZVkBo8S2w
245,3.15,9,14,Kathy,26,46,8D408fDn0twwIW6FZ42YWg
246,3.62,6,12,emi,37,27,c-nW0Acxj4mbX47XSpmJPg
247,3.83,21,26,amanny,18,41,qm5xGd3d47RfLWib0ryMAg
248,4.0,3,1,Laurie,3,2,6SLj8XiCdqeR_DHR2JmEdw
249,3.33,2,3,Chris,6,3,fl3mDJ62rLlKIdF39Lv8MQ
250,5.0,1,0,Stacy,1,2,btv7I8PxSgF4GQFIDq4rYA
251,3.86,2,1,Tara,14,14,NdytAQjOvVt1Ro8-Z99ngw
252,2.76,10,20,Robin,34,36,-nt-buRWQvDsbXuvhole0w
253,2.0,0,0,Courtney,1,3,VDay0jaCPqADA2PIYco0uw
254,3.65,4135,3807,Greg,412,4704,pYsYs7eQ9SWqAaQS0xoRLA
255,5.0,0,2,Jim,1,1,Dw8c5RaDIvbQ16eubug6rQ
256,4.81,3,1,Mindy,17,2,1u_jzMe9q3rHLUr8wb_GdA
257,5.0,1,0,Patty,3,1,UiEyQ_x2wNF6Ad8KFdoZ_A
258,3.64,14,10,Chris,22,34,_FbZ1gXZL349iiz5D8gz2Q
259,5.0,2,3,Joe,8,4,Ryy5lzNOevuI3aEc95768Q
260,3.78,1,0,Ryan,9,2,SnbTDuEJZ3bvarb2L0Ykrw
261,3.92,9884,6311,David,1033,9219,P-lfV8cdAgEOZJkw2dJpsw
262,3.67,0,0,Patrick,3,3,cCQberZUpkXgdGtCoqTvMg
263,3.65,4,3,Dennis,26,23,-hSy455NBx_lQ3SeQioq2Q
264,4.2,1,0,Stacy,5,12,vewaAGn2n53naTA1a2WP_A
265,5.0,1,0,Andrew,1,2,Z18eLwQq7SYPd02nPo7juA
266,3.4,1,1,Jack,6,1,xJmdrh4uEDAKf-2KjRArHg
267,3.64,85,82,Steven,139,194,uEG5uD9wMJixGWxaq34IEw
268,4.2,3,2,Brian,5,2,PESZTjx1dw1XFdZp972qbA
269,3.29,1,1,Mike,8,5,0PDyF0G9HNEkC4qT2cSQFA
270,4.0,0,0,Munaf,1,0,q6wboZhfNXd9dI57ct0XIw
271,4.62,0,0,Daina,8,1,f-_7wdkiXOc9TEfa4ZJEwA
272,4.0,2,1,Samantha,8,3,0w7AQaUnSQztBbt4JT9k5w
273,3.8,770,431,Leang,1314,1543,jfXT_8J_EQnJVa4sJ3z6hg
274,4.67,0,0,Donna,3,0,96Re6vNVUJcozL0FEzO-Nw
275,2.6,2,8,Rachel,6,7,TPxhtgj6BzpKBih2G5EHIQ
276,5.0,1,0,Kristen,2,1,iP2sk2ek0sDyWJIZyU4j2g
277,3.33,2,0,Amanda,18,7,d0KoBZ8tnsMzb2iG45vG-g
278,3.81,334,270,Jennifer,347,489,74BsmOZHUUdsvzYtGtlRiw
279,4.14,3,6,Kalia,7,4,ZjP38OJwq604QnBzDxVlSA
280,4.25,2,1,Walton,28,6,mYhWH6RExfM_EpMR_uUozQ
281,5.0,0,1,K,2,1,uyUfGVoOwQVtpBEhVCVcbw
282,3.88,4,2,C. Edward,26,24,8Uuwc4VaupFWvlGRwOZ31w
283,2.82,0,0,Rocky,17,2,VdL4eS8fAWCNInNtMvd-tw
284,4.8,4,1,Kari,5,4,jQcGFSO18cicLzCtjhvGBA
285,3.23,12,12,Maria,31,65,XoNSmEkutP_17dO7HLYc1Q
286,4.31,3,2,Roy,16,6,3QaC0Ljl2hWLdL_jzt6nJA
287,2.7,0,2,Brad,11,4,cRDmScDj6j_jPlyZn27bXA
288,4.67,0,0,David,3,2,dVXdgn9PKvSozekkyhi16Q
289,4.5,2,3,April,8,2,fCAuRQFkaN3UEebkfgpHUw
290,5.0,1,1,Shelton,4,2,I5AcIAujn4X0fzjq-CTLBg
291,5.0,0,0,jay,1,1,FGFYZUNgWcyBpWWH-1aauw
292,4.43,1,1,Johnathan,7,4,Bw9aoRUhoog-AtVnDBw_eA
293,2.0,0,0,Gidget,2,0,YCaqPOlG6CfKOSXUGAKicA
294,4.05,267,155,Jacqui,58,243,-txH2zJSBZQHO6RWvoWXuQ
295,4.83,9,4,Penelope,7,11,jmquyMQUHSuS8IQkv5PyYg
296,3.77,5,1,C,13,8,jyu9ThrwLGgVE1csLKR1Yw
297,3.0,1,2,Rob,5,1,6Oko6gNlXvknpF27R1FWOA
298,3.14,3,0,Dan,8,3,dDH8DGz2-PG558RHu5rWDQ
299,4.0,0,0,Penny,1,1,IwZkZmCpc2D7DslEogiBYg
300,4.0,0,0,Joe,1,0,1g-nGTPpg3_pjYbkgRI9jQ
301,3.9,30,22,Jane,50,56,x8n40c7W1MTWTTXsI2TxTw
302,3.91,2110,1511,Deb,357,2519,tdNV2Wb0LrFpm1Yfov_Klw
303,4.0,3,5,Chris,9,6,TouZvN0GpE8Ngm8_cWOK1w
304,3.0,1,3,Marlena,6,14,P1gw1GkB7Kye4LK52a9kXA
305,3.15,9,7,Gretchen,61,23,gQhHDBekmBHSKdQ2j5mmQg
306,2.67,0,0,Sveta,6,5,nWp3eeRsjv1ol3wCt3Ry7Q
307,3.2,1,1,Patrick,5,6,SZxqMdlFbidxrxjiCDzryQ
308,4.0,9,5,Mark,32,15,Fjs6c1PwzY1YbTcuAyubCQ
309,3.5,0,2,Jason,3,1,AVHseP2_PaUlCWhSsS7oKg
310,3.33,5858,5167,John,1790,6491,t6u29OyVPTIDI-RUlmp-WA
311,3.44,5,3,Kristin,9,8,5hOiRU4n02xNvxsfKKoznA
312,1.0,0,0,T,3,2,KwYxQgDFvM24DYXSVfEraA
313,4.1,75,37,Brittany,60,144,i4MKtZoii8WCSq518WvIkw
314,4.21,10,7,david,29,29,oeQjThrGQAQIHWN2qBeERw
315,3.82,80,66,Dan,106,169,mQba83gB018LlGt51r80ZQ
316,5.0,2,1,Kirsten,1,1,3qgnVSizS98l5yZXGOW_sg
317,5.0,0,0,Joell,1,0,qnMSU4fQFauVQGLCotjlww
318,3.44,7,8,A.,27,25,j2mGvnnXhp_fUxiNIoH6KQ
319,3.29,1,4,Paul,7,3,dPPa8QTRDT-6-LfRYQeIHQ
320,4.04,2,2,F,24,16,rUkjzVMimlyQ5n6iePQ5FQ
321,3.62,30,18,David,174,86,WYfVgKWdSHr8NoOEjnf8BA
322,1.0,0,1,Daniel,1,4,VW7x5Jo1Yi0c34-kOT63pQ
323,3.43,16,12,Dennis,23,31,gY-ne6NPsUzCdeWJonLhzQ
324,3.75,0,0,Tom,4,4,r8Jtn1IXRsZEddyYLdczDA
325,3.86,1,1,Mike,51,18,8AmFNpqDOvj5Yjfhxpysvw
326,3.26,7,12,Christopher,27,49,NwsZvz90aj-bUg5hjyJmWg
327,4.5,2,0,Dyl,2,4,r3tb0RdVAx0wiGWFLv0t8g
328,3.22,0,0,p,10,5,PKZvqm3IeWiWBYoDDoEG4w
329,4.0,16,18,Sarah,5,49,yvvtblpPi_QH41Jm6ari0w
330,3.2,5,9,alfred,20,25,HrJ2gJ-J-WuoUKTAz_02Aw
331,4.44,0,0,Penny,9,4,c4Frs03yozdJJ3uvuSAp3A
332,3.38,0,1,Patricia,16,5,FX7xoins2KhtC7y79BEU9g
333,5.0,1,0,Beverly,5,8,F28hTTLhM5sEtIc8k7KQVw
334,5.0,0,0,nancy,1,0,kak_OB_Bb3VFDSguCdHN3w
335,1.5,0,0,Jessica,2,3,lS6LniF_pemBHBzigzWBbg
336,3.0,1,1,Kyle,1,4,nxW7C0VHPYBkbuyDqBkG-g
337,5.0,0,0,Betsy,1,1,KMIRiJOWb6yQk_RQXyOijg
338,4.26,5,4,Allen,23,26,oUGmoziFCwNi2oUHB54SGg
339,1.0,0,0,Kimberly,1,1,3CiFPZtiIgzxwE3Oz8N9lA
340,2.43,0,3,Diane,7,3,4GzBe-7iyLaCFHfqbChXyw
